Read `.planning/research/CONSULT-69-ilf-object-identity-EVIDENCE.md` and audited the repo call paths read-only.

**Risk Table**

| Consumer | Evidence | Assumption / effect | Negative band | High-positive band |
|---|---|---|---|---|
| `NetworkId` storage/validity/hash | `src/engine/shared/library/sharedFoundation/src/shared/NetworkId.h:27`, `:116-118`, `:130-149` | Stored as signed `int64`; only `0` is invalid; hash uses high and low 32 bits. | SAFE | SAFE |
| `NetworkIdManager` registration/lookup/walk | `src/engine/shared/library/sharedObject/src/shared/object/NetworkIdManager.cpp:63-67`, `:72-79`, `:89-100`; `Object::setNetworkId` at `src/engine/shared/library/sharedObject/src/shared/object/Object.cpp:2294-2299` | Full `NetworkId` key in hash map; no sign/range/int32 check except `0` skip. Duplicate id is fatal. | SAFE if unique | SAFE if unique |
| `CachedNetworkId` resolution | `src/engine/shared/library/sharedObject/src/shared/object/CachedNetworkId.cpp:150-177` | Only calls hash lookup when `isValid()`; no sign/range narrowing. | SAFE | SAFE |
| `Watcher` side of cached ids | `CachedNetworkId.cpp:170-177`; `CachedNetworkId.h:68` | Cached pointer is a `Watcher<Object>`; identity is pointer after first lookup, full id before lookup. | SAFE | SAFE |
| Cluster-id bit packing | `NetworkId.cpp:19-32`, `:81-87`, `:92-107` | Layout: bit 63 sign/buildout; bit 62 client fake; bits 61..54 cluster id; bits 53..0 object id. Values `<= 0x3fffffffffffff` are treated unclustered. `getValueWithoutClusterId()` masks with `0x403fffffffffffff`, preserving fake bit and low 54 bits, clearing sign and cluster bits only on values above max. | SAFE: negative signed compare returns unchanged and cluster id `0`. | SAFE only for `0x80000000..0x3fffffffffffff`; RISK/BLOCKER above that because cluster bits can be interpreted/masked. |
| Existing fake client id band | `NetworkId.cpp:22-23`; `src/engine/client/library/clientGame/src/shared/object/ClientObject.cpp:104-107`, `:419-428` | `0x4000000000000000` and above is already the client fake-id band; `ClientObject::isFakeNetworkId()` is `id >= 0x4000000000000000`. | SAFE, not fake. | BLOCKER if band is `>= 0x4000000000000000`; it aliases fake-id semantics. |
| Look-at/intended-target uplink | `CreatureObject::setLookAtTarget` at `src/engine/client/library/clientGame/src/shared/object/CreatureObject.cpp:2949-2968`; `setIntendedTarget` at `:2980-3005`; controller send at `src/engine/client/library/clientGame/src/shared/controller/CreatureController.cpp:1004-1018`; message packs at `src/engine/shared/library/sharedNetworkMessages/src/shared/clientGameServer/MessageQueueNetworkId.cpp:34-35`, `:54-58` | Selecting an id-bearing `.ilf` object as player look-at/intended immediately sends that full 8-byte id to server via `CM_clientLookAtTarget` / `CM_clientIntendedTarget`. | RISK: unknown server id leak. | RISK: same, unless fake-band path is used elsewhere; the setter itself still sends. |
| Command queue uplink, including `/target`-style target substitution | `ClientCommandQueue::determineTarget` at `src/engine/client/library/clientGame/src/shared/command/ClientCommandQueue.cpp:172-179`; enqueue send at `:730-732`; packet packs target id at `src/engine/shared/library/sharedNetworkMessages/src/shared/clientGameServer/MessageQueueCommandQueueEnqueue.cpp:27-34`, `:79-88`; `PlayerCreatureController::sendCommandQueueEnqueue` at `src/engine/client/library/clientGame/src/shared/controller/PlayerCreatureController.cpp:2536-2546` | Commands with no explicit target substitute current intended/look-at target and send it in `CM_commandQueueEnqueue`. Explicit non-prod `>id` parser only accepts digit after `>` (`ClientCommandQueue.cpp:159-168`), so it cannot type negative ids that way. | RISK: selected `.ilf` id can leak as command target. | RISK: same. |
| Radial menu request | `CuiRadialMenuManager.cpp:281-285`, `:395-407`, resend at `:721-732`; packet packs target at `MessageQueueObjectMenuRequest.cpp:33-37`, `:49-57` | Invalid ids and waypoints stay client-only; fake ids stay client-only; all other valid ids send `CM_objectMenuRequest` to auth server. | RISK: negative ids are not fake, so radial requests leak upstream. | RISK below fake band; SAFE from radial leak if `>= 0x4000000000000000`, but that collides with fake-id convention. |
| Network serialization | `NetworkIdArchive.cpp:49-63`; `CachedNetworkIdArchive.h:17-28` | `NetworkId` serializes 8-byte `int64`. `CachedNetworkIdArchive` uses `uint64` raw bits but stores back into signed id; no 32-bit truncation. | SAFE locally/protocol-width-wise | SAFE locally/protocol-width-wise |
| `.ws` allocator seeding | `WorldSnapshot.cpp:1906-1911`, `:1937-1942`, `:1967-1977`, `:1996-2007`; config guard `:2468-2479` | Allocator band is positive and `<= INT32_MAX`; seed ignores reader ids `>= ceiling`; collision scan only walks `[seed, ceiling)`. Client-only `.ilf` ids are not in `ms_reader`. | SAFE/excluded | SAFE if above `INT32_MAX`; cannot enter allocator band due config guard. |
| `.ws` persistence width | `WorldSnapshotReaderWriter.cpp:430-431`, `:462-463`, `:496-497`; save gate `WorldSnapshot.cpp:2602-2612` | On-disk `.ws` ids are int32; editor save refuses ids `<=0` or `>INT32_MAX` for authored nodes. | SAFE only if `.ilf` ids never become `.ws` nodes; BLOCKER if promoted into `.ws`. | Same: BLOCKER if promoted into `.ws`. |
