file,bucket,rule,retail_source_tre
appearance/lod/arc170_body.lod,KEEP,ship-asset,patch_sku1_15_00.tre
appearance/lod/grievous_starship_body.lod,KEEP,ship-asset,patch_sku1_15_00.tre
appearance/lod/jedifighter_body.lod,KEEP,ship-asset,patch_sku1_15_00.tre
appearance/lod/tie_advanced.lod,KEEP,ship-asset,patch_sku1_15_00.tre
appearance/lod/tie_bomber_b.lod,KEEP,ship-asset,data_sku1_00.tre
appearance/lod/tie_fighter.lod,KEEP,ship-asset,data_sku1_00.tre
appearance/lod/tie_fighter_in.lod,KEEP,ship-asset,data_sku1_00.tre
appearance/lod/tie_fighter_modified.lod,KEEP,ship-asset,patch_sku1_15_00.tre
appearance/lod/tie_interceptor.lod,KEEP,ship-asset,data_sku1_00.tre
appearance/lod/tie_interceptor_imperial_guard.lod,KEEP,ship-asset,patch_sku1_15_00.tre
appearance/lod/tie_oppressor.lod,KEEP,ship-asset,data_sku1_00.tre
appearance/lod/xwing_body.lod,KEEP,ship-asset,patch_sku1_15_00.tre
appearance/lod/ywing_body.lod,KEEP,ship-asset,patch_sku1_15_00.tre
appearance/lod/z95_body.lod,KEEP,ship-asset,patch_sku1_15_00.tre
appearance/mesh/mun_tato_starport_s01_u01_r10_ticket3_mesh_r10.msh,PARK,starport-mesh,data_static_mesh_00.tre
appearance/mesh/mun_tato_starport_s01_u01_r11_ticket4_mesh_r11.msh,PARK,starport-mesh,data_static_mesh_00.tre
appearance/mesh/mun_tato_starport_s01_u01_r12_departures1_mesh_r12.msh,PARK,starport-mesh,data_static_mesh_00.tre
appearance/mesh/mun_tato_starport_s01_u01_r13_arrivals2_mesh_r13.msh,PARK,starport-mesh,data_static_mesh_00.tre
appearance/mesh/mun_tato_starport_s01_u01_r14_departures2_mesh_r14.msh,PARK,starport-mesh,data_static_mesh_00.tre
appearance/mesh/mun_tato_starport_s01_u01_r15_departures4_mesh_r15.msh,PARK,starport-mesh,data_static_mesh_00.tre
appearance/mesh/mun_tato_starport_s01_u01_r16_arrivals3_mesh_r16.msh,PARK,starport-mesh,data_static_mesh_00.tre
appearance/mesh/mun_tato_starport_s01_u01_r1_foyer1_mesh_r1.msh,PARK,starport-mesh,data_static_mesh_00.tre
appearance/mesh/mun_tato_starport_s01_u01_r2_foyer2_mesh_r2.msh,PARK,starport-mesh,data_static_mesh_00.tre
appearance/mesh/mun_tato_starport_s01_u01_r3_foyer3_mesh_r3.msh,PARK,starport-mesh,data_static_mesh_00.tre
appearance/mesh/mun_tato_starport_s01_u01_r4_foyer4_mesh_r4.msh,PARK,starport-mesh,data_static_mesh_00.tre
appearance/mesh/mun_tato_starport_s01_u01_r5_foyer5_mesh_r5.msh,PARK,starport-mesh,data_static_mesh_00.tre
appearance/mesh/mun_tato_starport_s01_u01_r6_foyer6_mesh_r6.msh,PARK,starport-mesh,data_static_mesh_00.tre
